18:56:49.630 [main] INFO  testClass.AccountRegistration - User Registered
18:56:55.606 [main] INFO  testClass.AccountRegistration - Provided user details
18:56:59.191 [main] INFO  testClass.AccountRegistration - User entered card details
18:57:01.868 [main] INFO  testClass.AccountRegistration - confirmed order and captured order number in screenshot
18:57:02.898 [main] INFO  testClass.AccountRegistration - *** Finished shopping process and signed off ***
19:07:26.388 [main] INFO  testClass.AccountRegistration -  *** started User Registration and shopping process *** 
19:07:29.378 [main] INFO  testClass.AccountRegistration - User Registered
19:07:35.809 [main] INFO  testClass.AccountRegistration - Provided user details
19:07:39.718 [main] INFO  testClass.AccountRegistration - User entered card details
19:07:42.367 [main] INFO  testClass.AccountRegistration - confirmed order and captured order number in screenshot
19:07:43.319 [main] INFO  testClass.AccountRegistration - *** Finished shopping process and signed off ***
